,num_storefornts,num_storefornts,num_storefornts
Reporting Year,2019,2020,2021
NBHD,,,
Battery Park City-Lower Manhattan,788.0,768.0,755.0
Central Harlem North-Polo Grounds,648.0,636.0,525.0
Central Harlem South,453.0,477.0,437.0
Chinatown,1608.0,1654.0,1425.0
Clinton,920.0,928.0,761.0
East Harlem North,631.0,630.0,500.0
East Harlem South,467.0,445.0,338.0
East Village,1110.0,1113.0,981.0
Gramercy,484.0,491.0,430.0
Hamilton Heights,395.0,436.0,394.0
Hudson Yards-Chelsea-Flat Iron-Union Square,1971.0,1956.0,1760.0
Lenox Hill-Roosevelt Island,910.0,917.0,782.0
Lincoln Square,541.0,551.0,529.0
Lower East Side,449.0,450.0,427.0
Manhattanville,150.0,132.0,108.0
Marble Hill-Inwood,522.0,508.0,456.0
Midtown-Midtown South,3609.0,3393.0,3055.0
Morningside Heights,337.0,357.0,304.0
Murray Hill-Kips Bay,800.0,816.0,742.0
SoHo-TriBeCa-Civic Center-Little Italy,2263.0,2246.0,2116.0
Stuyvesant Town-Cooper Village,24.0,24.0,24.0
Turtle Bay-East Midtown,1198.0,1247.0,1101.0
Upper East Side-Carnegie Hill,1398.0,1456.0,1350.0
Upper West Side,1040.0,1022.0,981.0
Washington Heights North,729.0,725.0,632.0
Washington Heights South,872.0,865.0,816.0
West Village,1809.0,1785.0,1655.0
Yorkville,692.0,688.0,640.0
park-cemetery-etc-Manhattan,1.0,,
